,Popularity,Recipe Name,Description,Ingredients,Directions,Category,Nutrients,Servings,Image URL
10,13,Polish Stuffed Cabbage,"Boiled cabbage leaves are filled with a mixture of ground beef, egg, and cooked rice. These are simmered for about an hour with tomato juice, vinegar, sugar, and water.","['1 medium head cabbage', 'water to cover', '1 pound ground beef', '1 cup cooked rice', 'garlic powder to taste', '1 egg', '1 (12 fluid ounce) can tomato juice', '1 tablespoon vinegar', '1 tablespoon white sugar', 'water to cover']","Place the head of cabbage in a large pot over high heat and add water to cover. Boil cabbage for 15 minutes, or until it is pliable and soft. Drain and allow to cool completely.
Remove the hard outer vein from the leaves.
In a separate large bowl, combine the beef, rice, garlic powder and the egg, mixing well.
Place a small amount, about the size of your palm, into the center of a cabbage leaf.
Fold leaf over, tucking in the sides of the leaf to keep meat mixture inside.
Pile up the filled leaves in a large pot, putting the larger leaves on the bottom. Add the tomato juice, vinegar and sugar and enough water to cover. Simmer over medium low heat for about 60 minutes. (Note: Keep an eye on them, making sure the bottom of leaves do not burn.)",Dinner,"{'calories': '331 kcal', 'carbohydrateContent': '20 g', 'cholesterolContent': '95 mg', 'fiberContent': '4 g', 'proteinContent': '17 g', 'saturatedFatContent': '9 g', 'sodiumContent': '253 mg', 'sugarContent': '9 g', 'fatContent': '21 g', 'unsaturatedFatContent': '0 g'}",6 servings,https://www.allrecipes.com/thmb/1TDUIJLiB1qc1_YQwajEF_FpN6w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16323-polish-stuffed-cabbage-ddmfs-beauty-3x4-5ead78b279bd4270bceac70f81402941.jpg
11,13,Mizeria (Polish Cucumber Salad),Mizeria is a chilled salad made with thinly sliced cucumbers and fresh dill tossed in a tangy sour cream dressing with lemon juice and a pinch of sugar.,"['1 pound small cucumbers, peeled and thinly sliced', 'salt to taste', '1 bunch dill, chopped', '2 ½ tablespoons sour cream', '1 teaspoon lemon juice', '1 pinch white sugar, or to taste', 'ground black pepper to taste']","Place cucumbers into a colander and sprinkle generously with salt; let stand until soft, about 5 minutes. Squeeze liquid from cucumbers and transfer to a bowl with dill.
Mix sour cream, lemon juice, and sugar together in a bowl; add to cucumbers and toss to coat. Season with pepper. Cover and chill for at least 30 minutes before serving.",Lunch,"{'calories': '13 kcal', 'carbohydrateContent': '1 g', 'cholesterolContent': '1 mg', 'fiberContent': '0 g', 'proteinContent': '0 g', 'saturatedFatContent': '0 g', 'sodiumContent': '4 mg', 'sugarContent': '0 g', 'fatContent': '1 g', 'unsaturatedFatContent': '0 g'}",12 servings,https://www.allrecipes.com/thmb/k-u4JJZEYC56cIZlnmXdp0FF8RQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1226879-94e3e1d9150e47f49d02fabc4f379ef5.jpg
12,12,Polish Reuben Casserole,"Layers of sauerkraut, egg noodles, a creamy mushroom mixture, Swiss cheese and bread crumbs build up to form this casserole named after the famous sandwich.","['2 (10.75 ounce) cans condensed cream of mushroom soup', '1 ⅓ cups milk', '½ cup chopped onion', '1 tablespoon prepared mustard', '2 (16 ounce) cans sauerkraut, rinsed and squeezed dry', '1 (8 ounce) package egg noodles', '1 ½ pounds kielbasa (Polish) sausage, cut into 1/2 inch pieces', '2 cups shredded Swiss cheese', '¾ cup whole wheat bread crumbs', '2 tablespoons butter, melted']","Preheat oven to 350 degrees F (175 degrees C).
In a medium bowl combine the soup, milk, onion and mustard. Mix well and set aside.
Spread sauerkraut into the bottom of a lightly greased 9x13 inch baking dish. Top with uncooked noodles, then spoon soup mixture evenly over noodles. Cover all with sausage and top with cheese. Lastly, combine bread crumbs and melted butter in a small bowl and mix together; sprinkle mixture over cheese.
Cover baking dish tightly with aluminum foil and bake in the preheated oven for 1 hour, or until noodles are tender.",Dinner,"{'calories': '628 kcal', 'carbohydrateContent': '40 g', 'cholesterolContent': '112 mg', 'fiberContent': '5 g', 'proteinContent': '26 g', 'saturatedFatContent': '17 g', 'sodiumContent': '2176 mg', 'sugarContent': '7 g', 'fatContent': '41 g', 'unsaturatedFatContent': '0 g'}",8 servings,https://www.allrecipes.com/thmb/9kgwWQqXw6bjVGWLznceURu-cVg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6375579-405cdc7de0834195b1fbd4e02e05526d.jpg
13,13,Polish Mistakes,"A great appetizer that is loved by all, especially men. Serve these meaty, cheesy delights on game day! For later use, place the topped bread on a cookie sheet in the freezer for 1 hour. Once frozen, the slices may be stored in freezer bags.","['1 pound lean ground beef', '1 pound sausage', '1 teaspoon minced onion', '1 pound processed cheese food, cubed', '1 teaspoon dried oregano', '1 ½ tablespoons Worcestershire sauce', '1 (1 pound) loaf cocktail rye bread']","Preheat the broiler.
Place ground beef, sausage and onion in a large, deep skillet. Cook over medium high heat until meat is evenly brown and onions are soft. Drain liquid.
Mix in the processed cheese food, oregano and Worcestershire sauce. Stir continuously until the cheese is melted.
If the bread is not sliced, cut it into thin slices. Spoon approximately 1 tablespoon of the mixture onto each slice. Place the slices in a single layer on a baking pan.
Broil the slices 10 minutes, or until the cheese is slightly browned and the bread is toasted.","Appetizer,Snack","{'calories': '308 kcal', 'carbohydrateContent': '3 g', 'cholesterolContent': '63 mg', 'fiberContent': '0 g', 'proteinContent': '15 g', 'saturatedFatContent': '12 g', 'sodiumContent': '532 mg', 'sugarContent': '0 g', 'fatContent': '26 g', 'unsaturatedFatContent': '0 g'}",15 servings,https://www.allrecipes.com/thmb/92xCHk_394PHcmUhrqc7jWWfaCk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/959294-905b850549aa43cab8e000265a20e323.jpg
14,13,Polish Link Sausage and Cabbage,This is a quick and easy preparation of kielbasa sausage and cabbage simmered in beer and butter.,"['3 tablespoons butter', '½ medium head cabbage, cut into chunks', '1 (16 ounce) package kielbasa sausage, sliced into rounds', '1 (12 fluid ounce) can beer', 'ground black pepper to taste']","Melt butter in a pot over medium heat. Cook and stir cabbage in the butter until tender, about 5 minutes. Add sausage and beer to the cabbage; stir. Season cabbage mixture with pepper. Simmer mixture until the sausage casings begin to shrink, about 20 minutes. Drain liquid from mixture before serving.",Lunch,"{'calories': '529 kcal', 'carbohydrateContent': '12 g', 'cholesterolContent': '104 mg', 'fiberContent': '3 g', 'proteinContent': '16 g', 'saturatedFatContent': '22 g', 'sodiumContent': '1018 mg', 'sugarContent': '6 g', 'fatContent': '43 g', 'unsaturatedFatContent': '0 g'}",4 servings,https://www.allrecipes.com/thmb/lTNYXbgZKE22_m1X6kWB5itVUXE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3353799-b8bad84c3e48406786c136b15faed59d.jpg
15,12,Polish Chili,"This Polish-style chili combines beef, Polish sausage, fresh chilies, tomatoes, tomatillos, and beans for a unique, delicious twist on traditional chili.","['2 pounds ground beef', '1 pound fully cooked Polish sausage or kielbasa, chopped', '1 large onion, chopped', '3 cloves garlic, minced', '4 Anaheim chilies, stemmed, seeded, and chopped', '3 yellow wax peppers, seeded and chopped', '3 jalapeño peppers, seeded and chopped', '4 medium tomatoes, chopped', '4 tomatillos, husked and chopped', '½ cup distilled white vinegar', '¼ cup tomato sauce', '1 (4 ounce) jar chopped pimentos, drained', '1 (15 ounce) can pinto beans, rinsed and drained', '1 (15 ounce) can kidney beans, rinsed and drained']","Place ground beef into a large pot over medium-high heat. Break meat up while cooking until no longer pink. Drain off excess grease, leaving just enough to coat the bottom of the pot.
Add Polish sausage, onion, garlic, Anaheim chilies, yellow peppers, jalapeño peppers, tomatoes, and tomatillos. Stir to combine. Simmer over medium heat until mixture softens, about 20 minutes.
Add vinegar, tomato sauce, pimentos, pinto beans, and kidney beans. Cover and simmer over medium heat until flavors meld, about 30 minutes.",Dinner,"{'calories': '435 kcal', 'carbohydrateContent': '17 g', 'cholesterolContent': '89 mg', 'fiberContent': '5 g', 'proteinContent': '22 g', 'saturatedFatContent': '12 g', 'sodiumContent': '575 mg', 'sugarContent': '5 g', 'fatContent': '31 g', 'unsaturatedFatContent': '0 g'}",12 servings,https://www.allrecipes.com/thmb/cERlIo6qv-1jKnlbBQHgK0IgV-I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6260400-bf0b889b21f243fb81d3c74cc6398bed.jpg
16,13,Easy Polish Noodles,"Kluski noodles simmered in chicken broth, also known as Polish noodles, are a staple dish for dinner buffets with Polish sausage and green beans.","['1 (49.5 fluid ounce) can chicken broth', '½ cup water, or as desired', '1 tablespoon chicken soup base, or more to taste', '1 (16 ounce) package kluski noodles']","Combine chicken broth, water, and chicken base in a 6-quart saucepan and bring to a boil. Add kluski noodles, reduce heat, and simmer until liquid is completely absorbed, 30 to 40 minutes.","Dinner,Side Dish","{'calories': '310 kcal', 'carbohydrateContent': '55 g', 'cholesterolContent': '69 mg', 'fiberContent': '3 g', 'proteinContent': '12 g', 'saturatedFatContent': '1 g', 'sodiumContent': '1515 mg', 'sugarContent': '3 g', 'fatContent': '4 g', 'unsaturatedFatContent': '0 g'}",6 servings,https://www.allrecipes.com/thmb/Fk71v6tcvPzM__XIlKa4FyWMm3Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3644394-a4a6311c787a42519708fd55b21a3938.jpg
17,12,Klupskies (Polish Burgers),"A traditional family favorite recipe for Polish burgers, or Klupskies, that calls for only a few simple ingredients.","['1 pound ground beef', '1 small onion, diced', '½ green pepper, diced', '1 egg', '2 tablespoons ketchup', '¼ teaspoon sea salt', '2 slices white bread, torn into small pieces', 'cooking spray with olive oil']","Mix ground beef, onion, green pepper, egg, ketchup, and sea salt together in a bowl; mix in white bread pieces until evenly distributed. Form the mixture into 4 patties.
Spray a large skillet with olive oil cooking spray and set over medium heat. Cook the burgers until well-browned on the bottoms, about 10 minutes; flip the burgers and cook until the meat is no longer pink and the juices run clear, 8 to 10 more minutes.",Dinner,"{'calories': '270 kcal', 'carbohydrateContent': '11 g', 'cholesterolContent': '115 mg', 'fiberContent': '1 g', 'proteinContent': '22 g', 'saturatedFatContent': '6 g', 'sodiumContent': '363 mg', 'sugarContent': '3 g', 'fatContent': '15 g', 'unsaturatedFatContent': '0 g'}",4 servings,https://www.allrecipes.com/thmb/8VNP-PJSrlJ6fVwMpFcGZ8JXbGA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8594250-e9aa2de2fb6c44ac8531134021737bc5.jpg
18,12,Chef John's Bigos (Polish Hunter's Stew),"Chef John's bigos recipe is a meaty Polish hunter's stew. It is usually made with wild game such as venison or boar, but you can use beef or pork, etc.","['¼ cup dried porcini mushrooms', '½ cup warm water', '2 tablespoons unsalted butter', '1 small head green cabbage, quartered and sliced', '2 cups packed, drained sauerkraut (not rinsed)', '4 strips bacon, cut into 1-inch pieces', '1 pound pork shoulder, cut into 1 ½-inch pieces', '1 pound boneless beef chuck, cut into 1-inch pieces', '1 pound Polish sausage links, sliced (or any other sausage)', '1 large onion, peeled and chopped', '3 pitted prunes, diced', '1 cup dry red wine', '1 teaspoon paprika', '1 teaspoon dried thyme leaves', '1 large bay leaf', '½ teaspoon caraway seeds', '¼ teaspoon allspice', 'freshly ground black pepper', 'salt to taste']","Soak mushrooms in warm water in a bowl to soften, 10 to 15 minutes. Drain, then chop.
Meanwhile, melt butter in a heavy pot or Dutch oven over medium-low heat. Add cabbage and sauerkraut; cook, stirring occasionally.
Cook bacon in a skillet over medium-high heat until browned but not crisp; transfer to the pot with cabbage, leaving drippings in skillet.
Add pork shoulder to skillet; sprinkle with salt. Cook and stir over medium-high heat until browned on all sides, 4 to 5 minutes; transfer to the pot. Add beef to skillet; sprinkle with salt. Cook and stir until browned, about 4 or 5 minutes; transfer to the pot. Add sausage to skillet; cook and stir until browned. Transfer to the pot.
Reduce skillet heat to medium. Add onion; sprinkle with salt. Cook and stir until onion translucent and starts to color. Stir in mushrooms and prunes; cook and stir about 2 minutes. Pour in red wine; increase heat to medium-high. Simmer until wine is reduced and very little liquid remains. Transfer onion mixture to the pot; season with paprika, thyme, bay leaf, caraway seeds, allspice, black pepper, and salt. Stir to combine and evenly distribute.
Cover pot tightly; simmer over medium-low heat until meat is tender, 1 to 1 ½ hours, stirring occasionally. Remove from heat; cool stew slightly. Refrigerate to let flavors blend, 8 hours to overnight.
Place pot over low to medium-low heat; add splash of water. Bring stew to a low simmer, stirring occasionally; cook until hot, 10 to 15 minutes.",Dinner,"{'calories': '640 kcal', 'carbohydrateContent': '19 g', 'cholesterolContent': '135 mg', 'fiberContent': '6 g', 'proteinContent': '32 g', 'saturatedFatContent': '20 g', 'sodiumContent': '1174 mg', 'sugarContent': '9 g', 'fatContent': '45 g', 'unsaturatedFatContent': '0 g'}",6 servings,https://www.allrecipes.com/thmb/W-xW3rX-CtRRjSzFkYF5A1RyXLM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4582617-c355365d6a414c2fa3840ea15559bee0.jpg
19,12,Kotlet Schabowy (Polish Breaded Pork Chop),"Breaded boneless pork chops are pan-fried until golden and crispy in this quick and easy recipe for a Polish staple, kotlet schabowy.","['2 boneless pork chops', 'salt and freshly ground black pepper to taste', '1 tablespoon all-purpose flour', '1 egg', '5 tablespoons bread crumbs', '2 tablespoons vegetable oil, or as needed']","Place pork chops between 2 sheets of heavy plastic on a solid, level surface. Firmly pound with the smooth side of a meat mallet, turning occasionally, until very thin. Season with salt and pepper.
Pour flour onto a large plate. Whisk egg in a wide, shallow bowl. Place breadcrumbs in a separate shallow bowl.
Dredge chops with flour. Dip in whisked egg. Coat with bread crumbs on both sides. Shake off excess coating.
Heat oil in a large skillet over medium-high heat. Add breaded chops; cook until golden brown, about 5 minutes per side.",Dinner,"{'calories': '332 kcal', 'carbohydrateContent': '15 g', 'cholesterolContent': '124 mg', 'fiberContent': '1 g', 'proteinContent': '18 g', 'saturatedFatContent': '5 g', 'sodiumContent': '257 mg', 'sugarContent': '1 g', 'fatContent': '22 g', 'unsaturatedFatContent': '0 g'}",2 servings,https://www.allrecipes.com/thmb/PsAeprjipLvqYj3P2PxK6CRkHc8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4537037-9b3beffb49834b51afe6cd3ad587bd6e.jpg
20,12,Polish Potato Soup,"What makes this Polish potato soup extraordinary is the addition of chopped dill pickle, pickle juice, and plenty of fresh dill. These ingredients, plus tangy sour cream, create a delicious, complex, comforting potato soup.","['2 tablespoons olive oil', '4 ounces kielbasa sausage, quartered and sliced 1/4-inch thick', '1 yellow onion, chopped', '2 ribs celery, cut into 1/2-inch pieces', '2 carrots, cut into 1/2-inch pieces', '2 1/2 pounds Yukon gold potatoes, peeled', '4 cups chicken broth', '1 1/2 cups water, or as needed', '1 teaspoon salt, or to taste', '1/4 teaspoon ground black pepper, or to taste', '1 pinch cayenne pepper, or to taste', '3/4 cup dill pickle', '1/4 cup pickle juice', '1/2 cup fresh dill, divided', '1/3 cup sour cream']","Heat oil in a soup pot over medium heat and add kielbasa. Cook, stirring, for a few minutes to flavor the oil. Add onions, celery, and carrots, and cook, stirring, until onions turn translucent, about 5 minutes.
Meanwhile, quarter potatoes and cut into 1/4-inch thick slices. Transfer about 1/3 of the potatoes into cold water, and reserve in the refrigerator until needed. Stir remaining sliced potatoes into the vegetables.
Add broth, water, salt, pepper, cayenne, pickles, pickle juice, and half the fresh chopped dill. Raise the heat to high, and wait for soup to start to simmer. While soup is coming up to temperature, stir in sour cream.
Reduce heat to medium-low, and simmer, stirring occasionally, until potatoes are tender, 40 to 45 minutes. Use a potato masher to break up potatoes.
Drain and add the reserved sliced potatoes, and let soup simmer until potatoes are very soft and tender, about 40 to 45 minutes more. During the last 30 minutes, be careful to stir gently to maintain whole pieces of potato.
Taste for seasoning and adjust. Stir in remaining dill, and serve immediately, garnished with more sour cream and dill.","Dinner,Entree,Soup","{'calories': '343 kcal', 'carbohydrateContent': '49 g', 'cholesterolContent': '25 mg', 'fiberContent': '6 g', 'proteinContent': '9 g', 'saturatedFatContent': '4 g', 'sodiumContent': '1663 mg', 'sugarContent': '8 g', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}",6 servings,https://www.allrecipes.com/thmb/XEK3S21AKdJJdB4PzdtdIU7T1Zc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8550310_Polish-Potato-Soup_John-Mitzewich_4x3-ad8e20f7c1ca46cebefada8cd225ed04.jpg
21,11,Polish Cherry Cake,This cherry cake recipe makes a moist yogurt cake topped with fresh sweet cherries baked to golden perfection for a traditional Polish cherry cake.,"['1 cup white sugar', '2 ½ cups all-purpose flour', '1 tablespoon baking powder', '1 teaspoon baking soda', '1 tablespoon butter', '2 cups pitted fresh sweet cherries', '1 tablespoon white sugar', '½ cup olive oil', '4 large eggs', '1 (6 ounce) container plain yogurt', '1 tablespoon olive oil (Optional)']","Preheat the oven to 350 degrees F (175 degrees C). Whisk 1 cup sugar, flour, baking powder, and baking soda in a mixing bowl until evenly combined.
Melt butter in a skillet over medium heat. Cook and stir pitted cherries in the butter until tender, sprinkling them with 1 tablespoon of sugar, 8 to 10 minutes. Set aside.
Form a well in the center of the dry ingredients, and pour in 1/2 cup olive oil, eggs, and yogurt; lightly stir the mixture to make a soft dough. Scrape batter into a 9x12-inch baking dish. Drizzle with 1 tablespoon of olive oil (if using), and top with cherries.
Bake in the preheated oven until cake is set and golden on top and a toothpick inserted into the center of the cake comes out clean, about 40 minutes.",Dessert,"{'calories': '313 kcal', 'carbohydrateContent': '43 g', 'cholesterolContent': '65 mg', 'fiberContent': '1 g', 'proteinContent': '6 g', 'saturatedFatContent': '3 g', 'sodiumContent': '229 mg', 'sugarContent': '22 g', 'fatContent': '14 g', 'unsaturatedFatContent': '0 g'}",12 servings,https://www.allrecipes.com/thmb/WlAF0fGPqs2W-VqBwwzihgHqXP4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/668077-4600a743d7144e3da12d0057c619aab0.jpg
22,12,Polish Sausage Soup,"New potatoes are simmered with onion, celery, carrots and kielbasa in this simple soup.","['12 small red new potatoes', '2 onions, diced', '4 stalks celery, chopped', '1 pound baby carrots', '2 pounds kielbasa, diced']","In a large pot over medium heat, combine potatoes, onion, celery, carrots and sausage. Cover with water. Bring to a boil, then reduce heat and simmer 1 hour.",,"{'calories': '780 kcal', 'carbohydrateContent': '77 g', 'cholesterolContent': '100 mg', 'fiberContent': '9 g', 'proteinContent': '25 g', 'saturatedFatContent': '14 g', 'sodiumContent': '1459 mg', 'sugarContent': '11 g', 'fatContent': '42 g', 'unsaturatedFatContent': '0 g'}",6 servings,https://www.allrecipes.com/thmb/cAg34BStV8SNmCas1yIFbAztiwg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/767831-a0d892aa51c54cb692fdd1c33080e1ec.jpg
23,11,Polish Nalesniki,"Sweet cheese filling goes well with sweet Polish nalesniki, also known as Polish blintzes or filled crepes.","['2 cups ricotta cheese', '3 ounces cream cheese, softened', '1 egg yolk', '2 tablespoons butter, melted', '1 tablespoon white sugar', '1 teaspoon vanilla extract', '½ teaspoon salt', '12 crepes', '1 tablespoon butter, divided']","Process ricotta cheese and cream cheese in a food processor until smooth and creamy; add egg yolk, melted butter, sugar, vanilla extract, and salt and process until fluffy.
Divide cheese mixture between the crepes. Spread filling into a thin layer and roll crepes around the filling.
Melt 1 teaspoon butter in a skillet over medium heat. Fry 3 crepes in melted butter until heated through, 1 to 2 minutes per side; repeat with remaining butter and crepes.",,"{'calories': '290 kcal', 'carbohydrateContent': '24 g', 'cholesterolContent': '194 mg', 'fiberContent': '1 g', 'proteinContent': '10 g', 'saturatedFatContent': '7 g', 'sodiumContent': '216 mg', 'sugarContent': '6 g', 'fatContent': '17 g', 'unsaturatedFatContent': '0 g'}",12 servings,https://www.allrecipes.com/thmb/qSdsqUIC8VTb82D-bbogXQSwyWY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2194906-93ed9424f8714783a2ccd25528d60fd2.jpg
24,11,Grandmother's Polish Cabbage and Noodles,"Tender cabbage, bow tie pasta, and ham combine in an easy, quick, and hearty meal with Polish origins. It's a great next-day dish to use up ham leftovers.","['¼ cup butter', '1 head cabbage, cored and chopped', '1 large onion, diced', '1 (12 ounce) package farfalle (bow tie) pasta', '2 tablespoons water', '1 ½ cups cooked ham, cut into bite-size pieces', '2 pinches white sugar, or to taste']","Melt butter in a large skillet over medium-low heat; cook and stir cabbage and onion until very tender, about 30 minutes.
Fill a large pot with lightly salted water and bring to a rolling boil. Stir in bow tie pasta and return to a boil. Cook pasta until tender but still slightly firm, about 12 minutes. Drain well and set aside.
Stir water and cooked ham into cabbage mixture; heat through. Thoroughly mix in sugar.
Gently stir bow tie pasta into the ham and cabbage and heat through.",Dinner,"{'calories': '618 kcal', 'carbohydrateContent': '82 g', 'cholesterolContent': '59 mg', 'fiberContent': '11 g', 'proteinContent': '25 g', 'saturatedFatContent': '11 g', 'sodiumContent': '709 mg', 'sugarContent': '14 g', 'fatContent': '23 g', 'unsaturatedFatContent': '0 g'}",4 servings,https://www.allrecipes.com/thmb/RhO5UZI-TpALHy7nRCJRc8AUqOw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1192753-5df62b2454c14170b35c124c2a4f8618.jpg
25,11,Bigos (Polish Hunter's Stew),"This bigos (Polish hunter's stew) recipe is for a well-loved Polish flavorful stew with sauerkraut, meat, bacon, mushrooms, caraway seeds, and red wine.","['3 pounds sauerkraut, rinsed, drained, and chopped', '9 cups boiling water, divided', '15 pitted prunes', '5 whole allspice berries', '3 bay leaves', '1 cup dried mushrooms', '8 ounces beef stew meat, cubed', '8 ounces boneless pork shoulder, cubed', '½ cup diced bacon strips', '2 tablespoons vegetable oil', '2 onions, chopped', '1 Polish sausage, sliced', '¾ cup red wine', '1 tablespoon caraway seeds', '1 teaspoon dried marjoram', 'salt and ground black pepper to taste', '3 tablespoons tomato paste (Optional)']","Place sauerkraut in a large pot; pour in 4 cups boiling water. Add prunes, allspice berries, and bay leaves; simmer until sauerkraut is soft, about 50 minutes.
Meanwhile, pour about 1 cup boiling water over mushrooms in a bowl; soak to rehydrate, about 30 minutes. Drain, reserving liquid; chop mushrooms.
Meanwhile, bring remaining 4 cups water to a boil in saucepan. Add beef, pork, and bacon; simmer until cooked through, about 20 minutes, then drain.
Meanwhile, heat oil in a skillet over medium to high heat. Add onions and sausage; cook and stir until onions are soft and sausage is browned, about 5 minutes.
When sauerkraut is soft, add mushrooms, meat mixture, and sausage mixture; stir well. Simmer, uncovered, over low heat, about 20 minutes.
Pour in red wine; cook until flavors are well blended, about 15 minutes. Season with caraway seeds, marjoram, salt, and black pepper; stir in tomato paste. If stew seems too dry, add some reserved mushroom liquid, and simmer until flavors combined, about 5 minutes.",Dinner,"{'calories': '657 kcal', 'carbohydrateContent': '54 g', 'cholesterolContent': '90 mg', 'fiberContent': '12 g', 'proteinContent': '33 g', 'saturatedFatContent': '11 g', 'sodiumContent': '2486 mg', 'sugarContent': '18 g', 'fatContent': '35 g', 'unsaturatedFatContent': '0 g'}",6 servings,https://www.allrecipes.com/thmb/mMPV37jtp6Bg_nnUFQ4N_HjwRGs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4540653-dff72dc0edd542db9f5cb2af84ee84a7.jpg
26,11,Pierogi (Traditional Polish Dumplings),"This Polish pierogi recipe is from my grandmother and has been handed down in our family for generations. They are filled with white cheese, potatoes, and mushrooms.","['3 tablespoons vegetable oil, or as needed', '3 onions, chopped', '2 ½ cups mushrooms, peeled and sliced', '7 potatoes, peeled and boiled', ""1 ⅓ (15 ounce) containers farmer's cheese"", '1 tablespoon sour cream', 'salt and ground black pepper to taste', '8 cups all-purpose flour, or more as needed', '2 large eggs', '6 tablespoons unsalted butter, room temperature', '2 cups lukewarm water']","Prepare filling: Heat oil in a large skillet over medium heat. Cook and stir onions and mushrooms in hot oil until soft, about 15 minutes. Remove from heat and set aside.
Pass potatoes and farmer's cheese separately through a food grinder or food processor; place both in a large bowl. Add onion-mushroom mixture, sour cream, salt, and pepper; mix until well combined and set filling aside.
Make dough: Place flour on a clean work surface and form a well in the center. Crack eggs into the well. Add butter and a few tablespoons warm water. Mix with your hands, gradually adding more warm water, 1 tablespoon at a time, as you go. Knead until dough is soft and smooth, adding more flour to the work surface as needed.
Roll out 1/4 of the dough to an 1/8-inch thickness. Use a glass or round cookie cutter to cut out circles, saving any excess dough for your next batch. Place 1 teaspoon filling in the center of each dough circle. Fold dough over into a half-moon shape and pinch edges together to seal. Cover pierogi with a clean dish towel and repeat with remaining dough and filling.
Bring a large pot of salted water to a gentle boil. Cook pierogi in batches, about 20 at a time, in boiling water until they float to the surface, 10 to 15 minutes. Remove with a slotted spoon to a strainer to drain.",Dinner,"{'calories': '76 kcal', 'carbohydrateContent': '11 g', 'cholesterolContent': '9 mg', 'fiberContent': '1 g', 'proteinContent': '3 g', 'saturatedFatContent': '1 g', 'sodiumContent': '14 mg', 'sugarContent': '1 g', 'fatContent': '2 g', 'unsaturatedFatContent': '0 g'}",80 servings,https://www.allrecipes.com/thmb/baIgt6UW7pcUbcqgkCMCwpy_LZ8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5068160-c62ba96822c84362b870e2772efa734e.jpg
27,11,Polish Bean and Sausage Stew Recipe,"A hearty and satisfying Polish stew with cannellini beans, kielbasa, bacon, and tomatoes that sticks to the bones on a cold winter's night.","['2 ½ cups dry cannellini beans', '1 tablespoon vegetable oil', '10 slices bacon, cubed', '½ (16 oz) ring kielbasa sausage, cubed', '2 onions, chopped', '2 bay leaves', '4 whole allspice berries', '1 (14.5 ounce) can chopped tomatoes', 'dried marjoram, or to taste', '1 clove garlic, minced', 'salt and ground black pepper to taste', '1 tablespoon butter', '1 tablespoon all-purpose flour', '1 teaspoon paprika (Optional)']","Place cannellini beans into a large container and cover with several inches of cool water; let soak 8 hours to overnight. Drain and add to a large pot. Cover with fresh water and cook on low heat until beans are tender, 45 minutes to 1 hour.
Meanwhile, heat oil in a skillet over medium-high heat while beans are cooking. Add bacon and sausage and cook until browned, 5 to 10 minutes. Transfer meats to a bowl, reserving some of the grease in the skillet.
Cook onions in the reserved grease until browned, 5 to 10 minutes. Add to bowl with meats.
Stir meat mixture, bay leaves, and allspice into the cooked beans and bring to a simmer. Add tomatoes, marjoram, garlic, salt, and pepper, and continue to simmer, 10 to 15 minutes. Add water if there is not enough liquid in the pot.
Melt butter in a small saucepan over low heat, add flour, and stir into a paste. Remove from heat and add to stew; stir in paprika powder. Simmer until stew has thickened, about 15 minutes.",Dinner,"{'calories': '817 kcal', 'carbohydrateContent': '89 g', 'cholesterolContent': '74 mg', 'fiberContent': '22 g', 'proteinContent': '47 g', 'saturatedFatContent': '14 g', 'sodiumContent': '1225 mg', 'sugarContent': '9 g', 'fatContent': '31 g', 'unsaturatedFatContent': '0 g'}",4 servings,https://www.allrecipes.com/thmb/P9FNjH4kESHxPlcbjSbjtoW2wtQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4573370-f959fa8ac6d14f16b41e691f24c45fb8.jpg
